id,name,rating,area_genre,master_genres,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1306-A130601-13099554,エミリア,3.76, 国立競技場駅 722m / イタリアン,"[""イタリアン""]","[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130601/13099554/,https://tblg.k-img.com/restaurant/images/Rvw/2704/2704344.jpg
tokyo-A1306-A130602-13020396,ジャン・フランソワ Echika表参道,3.73, 表参道駅 6m / パン、カフェ、サンドイッチ,"[""カフェ/スイーツ""]","[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130602/13020396/,https://tblg.k-img.com/restaurant/images/Rvw/876/876317.jpg
tokyo-A1306-A130603-13012689,広東名菜 富徳,3.63, 外苑前駅 287m / 広東料理、中華料理、スイーツ（その他）,"[""中華料理"", ""カフェ/スイーツ""]","[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1306/A130603/13012689/,https://tblg.k-img.com/restaurant/images/Rvw/26016/26016567.jpg
tokyo-A1306-A130603-13099736,トラットリア カザーレ・デル・パチョッコーネ,3.58, 青山一丁目駅 350m / イタリアン,"[""イタリアン""]","[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13099736/,https://tblg.k-img.com/restaurant/images/Rvw/110401/110401201.jpg
tokyo-A1306-A130602-13041328,大人の隠れ居酒屋 豊和 表参道,3.53, 表参道駅 197m / 居酒屋、和食（その他）、水炊き,"[""居酒屋"", ""和食"", ""鍋料理""]",[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130602/13041328/,https://tblg.k-img.com/restaurant/images/Rvw/741/741153.jpg
tokyo-A1306-A130602-13125029,リンツ ショコラ カフェ 表参道店,3.58, 表参道駅 42m / カフェ、チョコレート、ケーキ,"[""カフェ/スイーツ""]","[0, 999]","[0, 999]",https://tabelog.com/tokyo/A1306/A130602/13125029/,https://tblg.k-img.com/restaurant/images/Rvw/108560/108560064.jpg
tokyo-A1306-A130603-13104336,南青山 とんかつ 赤月,3.54, 外苑前駅 366m / とんかつ、串揚げ・串かつ、豚しゃぶ,"[""和食"", ""鍋料理""]","[1000, 1999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130603/13104336/,https://tblg.k-img.com/restaurant/images/Rvw/5359/5359722.jpg
tokyo-A1306-A130603-13093929,青山但馬屋,3.51, 外苑前駅 70m / 和菓子、スイーツ（その他）、たい焼き・大判焼き,"[""カフェ/スイーツ""]","[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1306/A130603/13093929/,https://tblg.k-img.com/restaurant/images/Rvw/96279/96279568.jpg
tokyo-A1306-A130602-13131287,青山フラワーマーケット ティーハウス 南青山本店,3.57, 表参道駅 55m / 紅茶専門店、カフェ,"[""カフェ/スイーツ""]","[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1306/A130602/13131287/,https://tblg.k-img.com/restaurant/images/Rvw/24241/24241201.jpg
tokyo-A1306-A130603-13001259,おけいすし,3.65, 外苑前駅 628m / 寿司,"[""海鮮/寿司""]","[3000, 3999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13001259/,https://tblg.k-img.com/restaurant/images/Rvw/101084/101084429.jpg
