id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1308-A130801-13216013,赤坂  華悦樓,3.57, 赤坂見附駅 123m / 中華料理、ラーメン、魚介料理・海鮮料理,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13216013/,https://tblg.k-img.com/restaurant/images/Rvw/101348/101348212.jpg
tokyo-A1308-A130802-13172903,ターキッシュキッチン,3.52, 溜池山王駅 163m / 地中海料理、ピザ、トルコ料理,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130802/13172903/,https://tblg.k-img.com/restaurant/images/Rvw/32357/32357257.jpg
tokyo-A1308-A130801-13216815,赤坂 すし 秀,3.51, 赤坂駅 190m / 寿司、懐石・会席料理、魚介料理・海鮮料理,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13216815/,https://tblg.k-img.com/restaurant/images/Rvw/87804/87804330.jpg
tokyo-A1308-A130801-13175381,オリジナル洋風鍋 マルミット,3.55, 赤坂駅 194m / ビストロ、鍋（その他）、イタリアン,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13175381/,https://tblg.k-img.com/restaurant/images/Rvw/104921/104921126.jpg
tokyo-A1308-A130801-13009549,赤坂韓国料理・焼肉 兄夫食堂 赤坂店,3.54, 赤坂駅 192m / 韓国料理、焼肉、韓国鍋,"[1000, 1999]","[1000, 1999]",https://tabelog.com/tokyo/A1308/A130801/13009549/,https://tblg.k-img.com/restaurant/images/Rvw/58223/58223770.jpg
tokyo-A1308-A130801-13162135,和牛 なか指,3.5, 赤坂見附駅 72m / 割烹・小料理、居酒屋、ダイニングバー,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13162135/,https://tblg.k-img.com/restaurant/images/Rvw/103626/103626378.jpg
tokyo-A1308-A130803-13160314,大地の恵み 北海道 永田町店,3.52, 永田町駅 207m / ダイニングバー、ビアガーデン、魚介料理・海鮮料理,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130803/13160314/,https://tblg.k-img.com/restaurant/images/Rvw/87588/87588164.jpg
tokyo-A1308-A130801-13144924,ペスケリア・ラ・ルーナ・ロッサ,3.52, 赤坂駅 281m / イタリアン、魚介料理・海鮮料理、ワインバー,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13144924/,https://tblg.k-img.com/restaurant/images/Rvw/19968/19968708.jpg
tokyo-A1308-A130801-13157226,THE SPICE,3.52, 赤坂駅 221m / ダイニングバー、インドカレー、インド料理,"[0, 999]","[1000, 1999]",https://tabelog.com/tokyo/A1308/A130801/13157226/,https://tblg.k-img.com/restaurant/images/Rvw/109614/109614470.jpg
tokyo-A1308-A130801-13047572,シンガポール海南鶏飯 赤坂店,3.58, 赤坂駅 118m / 東南アジア料理（その他）、居酒屋、シンガポール料理,"[0, 999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130801/13047572/,https://tblg.k-img.com/restaurant/images/Rvw/3433/3433717.jpg
tokyo-A1308-A130801-13023337,マンダラ 赤坂店,3.5, 赤坂駅 93m / ダイニングバー、居酒屋、カレー（その他）,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130801/13023337/,https://tblg.k-img.com/restaurant/images/Rvw/38666/38666903.jpg
tokyo-A1308-A130801-13166352,きはる,3.59, 赤坂駅 233m / 割烹・小料理、懐石・会席料理、和食（その他）,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13166352/,https://tblg.k-img.com/restaurant/images/Rvw/75443/75443623.jpg
tokyo-A1308-A130801-13179603,YAKIYAKIさんの家 AKASAKA,3.55, 赤坂駅 318m / 鉄板焼き、ステーキ、西洋各国料理（その他）,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13179603/,https://tblg.k-img.com/restaurant/images/Rvw/56186/56186656.jpg
tokyo-A1308-A130801-13156443,おやじのおとうと,3.69, 赤坂駅 196m / 焼肉、ホルモン、居酒屋,[0],"[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13156443/,https://tblg.k-img.com/restaurant/images/Rvw/37232/37232539.jpg
