genre_name
焼鳥
日本酒バー
鳥料理
イタリアン
バル・バール
ダイニングバー
タイ料理
タイカレー
フレンチ
ビストロ
ワインバー
ラーメン
居酒屋
割烹・小料理
懐石・会席料理
和食（その他）
ピザ
パスタ
しゃぶしゃぶ
丼もの（その他）
インド料理
インドカレー
パキスタン料理
ステーキ
鉄板焼き
魚介料理・海鮮料理
そば
焼肉
韓国料理
つけ麺
油そば
立ち飲み居酒屋・バー
焼きとん
豚しゃぶ
豚料理
餃子
創作料理
中華料理
ホルモン
洋食
西洋各国料理（その他）
牛丼
ジンギスカン
居酒屋・ダイニングバー（その他）
ハンバーグ
四川料理
上海料理
広東料理
中国茶専門店
うなぎ
シチュー
もつ焼き
中国鍋・火鍋
鍋（その他）
フルーツパーラー
パフェ
カフェ
ふぐ
郷土料理（その他）
バー
カレーライス
中華麺（その他）
飲茶・点心
ハンバーガー
立ち食いそば
うどん
かき氷
スペイン料理
コーヒー専門店
サンドイッチ
薬膳
中華粥
すっぽん
和菓子
どら焼き
ソフトクリーム
担々麺
とんかつ
定食・食堂
コロッケ・フライ
甘味処
喫茶店
親子丼
カフェ・喫茶（その他）
カレー（その他）
すき焼き
ろばた焼き
バイキング
寿司
オイスターバー
おでん
あなご
馬肉料理
水炊き
串揚げ・串かつ
パンケーキ
ビアホール・ビアレストラン
ビアバー
シーフード
アジア・エスニック料理（その他）
バー・お酒（その他）
野菜料理
モダンフレンチ
天ぷら
牛料理
洋食・欧風料理（その他）
ビアガーデン
ハヤシライス
その他肉料理
地中海料理
京料理
海鮮丼
ケーキ
串焼き
アメリカ料理
北京料理
回転寿司
ドイツ料理
豆腐料理・湯葉料理
レストラン（その他）
クレープ
メキシコ料理
ブラジル料理
ラウンジ
オセアニア料理
無国籍料理
天ぷら・揚げ物（その他）
かに
シンガポール料理
自然食
パン
スープカレー
バーベキュー
トルコ料理
スイーツ（その他）
ベトナム料理
日本茶専門店
沖縄料理
ロシア料理
アイスクリーム
ハワイ料理
洋菓子（その他）
焼酎バー
オムライス
イノベーティブ・フュージョン
もつ鍋
冷麺
台湾料理
お好み焼き
ベーグル
インドネシア料理
中南米料理（その他）
たこ焼き
天丼・天重
中華菓子
紅茶専門店
かつ丼・かつ重
カレーうどん
フレンチトースト
大福
東南アジア料理（その他）
チョコレート
たい焼き・大判焼き
炭火焼き
スリランカ料理
刀削麺
韓国鍋
牛タン
パブ
ドーナツ
そば・うどん・麺類（その他）
ちゃんぽん
からあげ
マカロン
